"","country","year","v2csantimv","v2svstterr","v2svinlaut","v2clrgunev","e_Fiscal_Reliance","e_Civil_War","e_miinterc","v2csanmvch_9","v2clsocgrp","v2pepwrsoc","inflation","inflationm1","inflationm2","inflationm3","inflatavg","debt","debtm1","debtm2","debtm3","debtavg","ctrySize","popDensity","national","trust1","trust2"
"23","Belarus",1996,0.984412652301193,100,1.49475620631779,1.19363596191311,NA,0,0,0,1.13001951329024,1.08966357933809,52.71207699,709.3460398,2221.016806,1190.232999,1373.53194826667,1.958927,1.693748,1.296123,0.968283,1.31938466666667,455.631429995781,50.0887398935121,1.73996175908222,1.63527724665392,NA
"24","Belarus",2011,-0.49189938165504,100,0.299168814950632,1.26872201609848,NA,NA,NA,0,1.05963790890661,1.08966357933809,53.22869831,7.735748043,12.94565634,14.83787648,11.8397602876667,33.932546,28.412148,22.078687,15.152844,21.8812263333333,455.631429995781,46.6865704006702,1.58697068403909,1.43908794788274,2.42019543973941
"25","Brazil",1991,-2.68705742787592,93.625,1.67305635238253,-0.830776991451583,NA,0,0,0,0.604104336075521,1.51716079278151,432.7846016,2947.73293,1430.723231,629.1147272,1669.19029606667,121.336721,120.31188,114.930117,118.039403,117.760466666667,2918.17922684677,18.1830619013321,1.54545454545455,1.90909090909091,NA
"26","Brazil",2006,-1.97361300701459,89.0357142857143,2.16807095429784,-0.830776991451583,NA,0,NA,0.111111111111111,0.583896263647243,1.13335559344118,4.183680532,6.86734958,6.599124847,14.71532583,9.393933419,194.30302,188.364548,220.693598,235.907976,214.988707333333,2918.17922684677,22.6141715740583,1.80266666666667,1.85066666666667,1.926
"27","Brazil",2014,-1.40101265667821,89.0357142857143,2.16807095429784,-0.680409276023882,NA,NA,NA,0.142857142857143,0.219064547362714,1.57629564263225,6.332092342,6.201899613,5.40196475,6.636198657,6.08002100666667,556.920799,483.765356,440.514543,404.046105,442.775334666667,2918.17922684677,24.4328442691795,1.90444145356662,1.91251682368775,1.76043068640646
"28","Bulgaria",1997,-2.15718395307294,100,1.6893507000382,1.44419127415754,NA,0,0,0.25,0.969470851462779,1.73194952006902,1058.373852,121.6075,62.05483368,96.05733827,93.23989065,11.099447,10.368413,10.378825,9.828535,10.1919243333333,333.151617135502,75.1339419687246,1.26492537313433,1.24813432835821,NA
"29","Bulgaria",2005,-2.37794137009486,100,1.6893507000382,2.25358270398579,NA,0,NA,0.2,0.969470851462779,1.73194952006902,5.038843534,6.346133143,2.157107037,5.810130513,4.77112356433333,18.507345,16.620264,14.259736,12.313482,14.3978273333333,333.166624979154,70.4986377025037,1.47952047952048,1.44955044955045,2.27772227772228
"30","Burkina Faso",2007,0.67982063755862,91,0.55567781932693,1.15760770856366,NA,NA,NA,0,2.4635294914482,1.6236775270194,-0.230627306,2.333108564,6.415040184,-0.400228702,2.78264001533333,1.46519,1.131708,2.000596,1.931701,1.68800166666667,523.660195164765,52.0907200292398,1.1251629726206,1.63494132985658,1.46805736636245
"31","Canada",2000,-1.37502287347615,98.1666666666667,1.82488314367025,0.574048974857646,NA,0,0,0.75,1.8299796161827,1.33197576457356,2.719439957,1.734842951,0.995942457,1.621216381,1.450667263,NA,NA,NA,NA,NA,3159.85284467489,3.38369892373792,1.3081305023304,1.5981356809943,NA
"32","Canada",2006,-1.37502287347615,98.1666666666667,1.82488314367025,0.574048974857646,NA,0,NA,0.5,1.8299796161827,1.33197576457356,2.002025395,2.213552034,1.857258719,2.758563214,2.276457989,NA,NA,NA,NA,NA,3159.85284467489,3.58173081681331,1.24676524953789,1.50878003696858,1.76709796672828
"33","Chile",1990,-1.78638896156544,97.7777777777778,1.65339386628321,1.6604020088717,19.3104,0,0,0,0.643666095233304,1.10235928403477,26.0364778,17.02794124,14.68435948,19.88080808,17.1977029333333,NA,NA,NA,NA,NA,869.537808263678,17.8097674343539,1.602,1.69533333333333,NA
"34","Chile",1996,-1.57167461718145,97.7777777777778,1.65339386628321,1.6604020088717,5.978956,0,0,0,0.643666095233304,1.10235928403477,7.359114663,8.232633546,11.44312436,12.72776141,10.8011731053333,NA,NA,NA,NA,NA,869.537808263678,19.4985905112356,1.557,1.722,NA
"35","Chile",2000,-1.57167461718145,97.7777777777778,1.65339386628321,1.6604020088717,4.294897,0,0,0.2,0.658595323386926,1.10235928403477,3.843273473,3.336882862,5.110244133,6.133866515,4.86033117,NA,NA,NA,NA,NA,869.537808263678,20.5273666768882,1.36333333333333,1.69833333333333,NA
"36","Chile",2006,-1.57167461718145,97.7777777777778,1.65339386628321,1.6604020088717,NA,0,NA,0.222222222222222,0.658595323386926,1.10235928403477,3.392018991,3.052573943,1.054739332,2.810177259,2.305830178,NA,NA,NA,NA,NA,869.537808263678,21.9490109369872,1.459,1.822,1.951
"37","Chile",2011,-1.22953334051603,97.7777777777778,1.95909929744985,1.6604020088717,NA,NA,NA,0.2,0.658595323386926,1.10235928403477,3.340318008,1.409964751,0.071761556,8.716268548,3.39933161833333,NA,NA,NA,NA,NA,869.537808263678,23.0700992021863,1.536,1.77,1.985
