"Data Source","World Development Indicators",

"Last Updated Date","2018-01-19",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Barbados","BRB","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","-47699999.97615","-40103780.6452039","-47780628.5698511","-57931201.6341439","-54791694.109447","-47303769.4088005","-82200000","-68250000","-53750000","-58300000","-38500000","-126300000","-45550000","-39600000","26150000","74200000","29600000","11550000","67000000","49300000","-4900000","-17300000","135380285","93053027.2","136282597","17024604.2000001","39977683.4","-101612258.735","-120584034.5","-209370059.32","-220413737","-186513354.85","-227374798.85","-241583829.883335","-395251067.07257","-356257905.82327","-180891424.25758","-142086539.98","-256497243.5605","-193083744.96","-171536150.916595","-103006651.656285","-99029731.2090802","-67592835.212175","","","","",
"Brunei Darussalam","BRN","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1989059787.25675","1779007179.21169","2568584409.5717","3199787455.8062","4335140927.97401","5569590895.58787","5196313757.02077","7304766748.18526","4370174427.09202","5424417631.9042","7303248266.46829","6609154195.79176","4557118830.5744","5813453718.26044","1903397568.72309","1347800729.97221","",
"Bhutan","BTN","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","-135666508.275048","50402524.6251131","-112000942.938711","-107898255.761345","-344757300.899123","-558990156.79171","-478829661.216349","-433041928.515847","-459148882.689945","-496798493.545287","-583707034.885909","",
"Botswana","BWA","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","-84380460.0777116","-42090010.5709062","-73281420.1392245","-123044302.134794","-93864262.9841853","-173051561.868251","-400483624.391318","-198317730.999057","-71381307.3592649","11244839.70046","179652049.010063","189128650.337643","704432208.996844","353551580.113065","517101258.425313","18006243.0600936","94531112.162739","16447641.2802616","132476295.616107","384222050.918827","370895868.754373","569169393.307054","664882047.498743","-190025982.753888","597855038.450704","679374494.135697","604632567.671367","756117515.723113","955466496.069475","826930101.780561","1825355801.63475","1932749748.55663","1279869208.19096","-292092989.021878","-1262774232.02985","-910170143.838771","-523909969.699136","-2139527190.40801","103242926.808272","1113215034.59039","-204007680.580966","1099902601.74629","",
"Central African Republic","CAF","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","-46267561.469392","-62639631.8063489","-88989534.0252786","-126405983.520643","-67231819.6091651","-90147402.1163416","-82119625.0562135","-77225049.1685395","-97955993.8223748","-157155853.947018","-155355473.646591","-134132076.258033","-116783795.468032","-190527759.354211","-139202546.175899","-180730947.707285","-108312334.398684","-65381291.4120434","","","","","","","","","","","","","","","","","","","","","","","",
"Canada","CAN","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","-506955702.888534","-212121753.105836","-95384054.9988605","309277491.271384","563619290.012582","-72911778.2112448","14752500.3521271","659238080.487085","863476679.653744","91578164.8029218","2224356133.08438","1599677097.64858","1000380551.46988","1798495081.31134","188803566.819961","-3075878941.15475","-1516004172.67539","-510388961.851788","666675119.296425","1184256724.9823","4717465501.35003","2361355732.57739","12130843050.0743","11082223375.0398","12377039353.7437","8477752173.06902","3697721960.93755","5199614304.34422","4077697986.14014","363540591.202637","1116006103.15413","-3204753394.37173","-2261157126.74909","63251941.7619667","6648001386.17976","18904108176.3363","24630544812.9972","12429854160.537","12048793703.1556","24096411025.2118","41614094977.414","41821834010.0793","32859698877.7921","34072699767.7914","44853555418.887","45668177186.8954","35202111392.9593","30611731964.7546","28147430667.4878","-20272829218.6333","-30873823926.4525","-21670527551.3848","-35912073927.1107","-30377442023.5069","-18310675698.1601","-37321059861.5813","-36462923880.0444","",
"Central Europe and the Baltics","CEB","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Switzerland","CHE","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","47430340.0030541","-256707815.686038","-3180321456.38464","-3247581863.0006","-264224100.776272","-972774618.862199","-2215667515.86451","2012186039.6817","1891641654.37249","-12229582.6203003","1018648396.41674","1692749265.35912","1758821461.86408","644418982.717354","4234403965.62044","9072204292.6004","11646322343.4134","13329165729.8698","14403419962.3246","12583959676.7016","14061341027.5182","12697634856.9753","15727670908.0436","15911589710.6497","14413398083.6388","20656475647.8134","23805392536.5159","35804955464.2552","28876630523.6249","35194278614.6577","50831461608.1658","58167631122.3484","39071776144.5727","60062167282.6319","53942989882.1906","63103561770.1257","75523900359.6004","76696694196.8647","71853370292.3958","68908118131.5569","",
"Channel Islands","CHI","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","Net trade in goods and services (BoP, current US$)","BN.GSR.GNFS.CD","","","","","","","","","","","","","","","","-217000000","425000000","-282000000","-696000000","-618000000","-1084000000","-3285000000","-411000000","547000000","-181000000","495720000","627760000","854900000","1519300000","1022540000","1055290000","1518700000","546000000","-1215700000","581000000","1056900000","-1072625133.10716","-1563380808.39716","-2492077323.14361","1689973427.38374","1400054677.54859","999286551.13533","1684100883.03244","3869273277.45885","9861505995.90637","10766558932.1919","22375527348.7625","23652876789.158","5037301062.76553","13683113132.4933","14135429144.1959","8318851700.95435","66059597.0450096","-1409598032.18262","2769062466.70679","47467490.656208","2118660734.1421","",
