;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Interest Rates selected indicators;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Financial, Interest Rates, Monetary Policy-Related Interest Rate, Percent per annum;"getSelectionEl(0,6,""Indicator"")";"getSelectionEl(0,6,""Indicator"")";"getSelectionEl(0,6,""Indicator"")";;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Source: International Financial Statistics (IFS);;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
;Country;Scale;Base Year;1990;1991;1992;1993;1994;1995;1996;1997;1998;1999;2000;2001;2002;2003;2004;2005;2006;2007;2008;2009;2010;2011;2012;2013;2014;2015;2016;2017Q1
;Bahrain, Kingdom of;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;4,00;0,75;0,50;0,50;0,50;0,50;0,50;0,50;0,75;1,00;1,25
;Egypt;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;15,25;15,25
;Iraq;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;7,00;16,00;20,00;15,00;7,00;6,00;6,00;6,00;6,00;6,00;6,00;4,00;4,00
;Jordan;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;2,25;4,50;5,25;4,75;4,00;2,50;2,00;2,25;4,00;3,50;2,75;1,50;1,75;2,50
;Qatar;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;1,33;2,60;4,50;5,50;5,50;5,50;5,50;5,50;4,50;4,50;4,50;4,50;4,50;4,75;5,00
;Saudi Arabia;Units;;...;...;...;...;...;...;...;...;...;5,50;6,75;2,25;1,50;1,25;2,25;4,25;4,70;4,00;1,50;0,25;0,25;0,25;0,25;0,25;0,25;0,50;0,75;1,00
;Sub-Saharan Africa;;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...
;West African Economic and Monetary Union (WAEMU);Units;;...;...;...;...;...;...;...;...;...;...;...;...;5,00;3,50;3,00;3,00;3,25;3,25;3,75;3,25;3,25;3,25;3,00;2,50;2,50;2,50;2,50;2,50
;Benin;Units;;...;...;...;...;...;...;...;...;...;...;...;...;5,00;3,50;3,00;3,00;3,25;3,25;3,75;3,25;3,25;3,25;3,00;2,50;2,50;2,50;2,50;2,50
;Burkina Faso;Units;;...;...;...;...;...;...;...;...;...;...;...;...;5,00;3,50;3,00;3,00;3,25;3,25;3,75;3,25;3,25;3,25;3,00;2,50;2,50;2,50;2,50;2,50
;Cote d'Ivoire;Units;;...;...;...;...;...;...;...;...;...;...;...;...;5,00;3,50;3,00;3,00;3,25;3,25;3,75;3,25;3,25;3,25;3,00;2,50;2,50;2,50;2,50;2,50
;Guinea-Bissau;Units;;...;...;...;...;...;...;...;...;...;...;...;...;5,00;3,50;3,00;3,00;3,25;3,25;3,75;3,25;3,25;3,25;3,00;2,50;2,50;2,50;2,50;2,50
;Mali;Units;;...;...;...;...;...;...;...;...;...;...;...;...;5,00;3,50;3,00;3,00;3,25;3,25;3,75;3,25;3,25;3,25;3,00;2,50;2,50;2,50;2,50;2,50
;Niger;Units;;...;...;...;...;...;...;...;...;...;...;...;...;5,00;3,50;3,00;3,00;3,25;3,25;3,75;3,25;3,25;3,25;3,00;2,50;2,50;2,50;2,50;2,50
;Senegal;Units;;...;...;...;...;...;...;...;...;...;...;...;...;5,00;3,50;3,00;3,00;3,25;3,25;3,75;3,25;3,25;3,25;3,00;2,50;2,50;2,50;2,50;2,50
;Togo;Units;;...;...;...;...;...;...;...;...;...;...;...;...;5,00;3,50;3,00;3,00;3,25;3,25;3,75;3,25;3,25;3,25;3,00;2,50;2,50;2,50;2,50;2,50
;Angola;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;10,25;9,75;9,00;11,00;16,00;16,00
;Cape Verde;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;5,75;3,75;3,50;3,50;3,50
;Congo, Democratic Republic of;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;40,00;22,50;40,00;70,00;22,00;20,00;4,00;2,00;2,00;2,00;7,00;14,00
;Gambia, The;Units;;19,50;18,50;22,50;18,50;18,50;19,00;19,00;19,00;17,00;15,50;15,00;18,00;23,00;34,00;33,00;19,00;14,00;15,00;16,00;14,00;15,00;14,00;12,00;20,00;22,00;23,00;23,00;20,00
;Ghana;Units;;33,00;20,00;30,00;35,00;33,00;45,00;45,00;45,00;37,00;27,00;27,00;27,00;24,50;21,50;18,50;15,50;12,50;13,50;17,00;18,00;13,50;12,50;15,00;16,00;21,00;26,00;25,50;23,50
;Kenya;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;8,75;8,50;7,00;6,00;18,00;11,00;8,50;8,50;11,50;10,00;10,00
;Mauritius;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;9,25;6,75;5,75;4,75;5,40;4,90;4,65;4,65;4,40;4,00;4,00
;Nigeria;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;9,50;9,75;6,00;6,25;12,00;12,00;12,00;13,00;11,00;14,00;14,00
;Rwanda;Units;;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;...;6,50;6,50;6,25;6,25
