"Data Source","World Development Indicators",

"Last Updated Date","2017-11-21",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017",
"Bermuda","BMU","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bolivia","BOL","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","157.374423573739","199.777527832928","215.745544829296","201.216849144691","265.426289338497","455.548423180997","133.391123117716","126.648350908042","120.8234171628","116.184909908921","95.8651950438092","99.5062046959246","97.9346191731274","97.0047468055711","92.5479661130327","90.0389203590836","94.1946229864737","96.302994132775","100.670800093844","103.7009474037","101.965305522158","101.420096824668","106.510035251667","95.7311814694665","89.0703074624192","84.9696516833281","84.1603318941871","85.0948062669487","96.2146105527507","105.174658015064","100","101.870842742154","107.161749163093","113.138271427111","122.111789558479","141.751475555052","150.360971799555","",
"Brazil","BRA","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","74.1607298724881","86.1570933367797","93.3917811413909","71.6436667067148","63.8979111675832","61.7830129325882","58.9683869865773","61.2039624821943","60.5694457020285","81.037040984909","100.370586981087","84.4260524460451","74.2846643193462","78.21345528393","81.4656228703861","89.0943003649872","94.0151589952625","96.3991054529111","93.6703094887699","62.2863435547434","67.101303172592","56.8573324741123","58.6958884748156","55.444192721431","58.200815506509","70.9906828945436","79.2043734837921","85.0748498310589","88.8322901552663","88.1616023892867","100","103.490319362813","93.1197881335805","87.8626491551547","87.0025410129245","73.2809022992968","78.2218574271189","",
"Barbados","BRB","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Brunei Darussalam","BRN","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Bhutan","BTN","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Botswana","BWA","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Central African Republic","CAF","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","197.914890732227","172.807185648276","169.9935165536","174.384908257998","164.337836927036","175.281427106111","183.8615504405","169.812720945176","156.239942571653","149.371813263328","150.792510742223","139.756894239711","137.10315636236","128.748886455498","80.6313729968839","95.2566565935534","97.0375042020846","93.5470950228161","91.2486887656677","87.3478512330897","84.4458019270984","86.2450543447662","88.1126850044215","93.8487688896413","91.4117402004421","90.6595122932186","94.2459763564665","95.408206814274","102.767342141458","104.866991813484","100","98.9920142337154","99.2035468740918","102.271714352023","127.993871306801","166.411930829474","220.542779670654","",
"Canada","CAN","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","120.732163522017","121.04803678839","119.677547478465","114.070846615892","116.159346204743","111.494517278662","118.106388752899","108.21970831739","96.9622573012125","92.8369103496408","91.2568035943219","95.7796820655008","102.257025897416","106.760029648055","104.799512208897","101.06993213432","91.4318070247082","91.5825455290174","96.5467890704412","103.344479584925","102.134832239415","105.050254282528","96.405632079487","90.1452630521402","82.3621372614477","79.6653774775831","80.5346562334744","79.7405262264442","75.0744425259595","74.1687267564974","74.5088505465463","72.3030517015217","71.7175900772094","79.7003623765371","84.0378063261364","89.4590591264957","94.522633650702","97.680395911641","95.3058618027763","90.7416599936461","100","102.009015204883","101.716482656758","98.3851983709273","92.1064517827447","83.9869247766267","81.9778526491987","",
"Central Europe and the Baltics","CEB","Real effective exchange rate index (2010 = 100)","PX.REX.REER","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
