"number","base_treaty","name","entry_type","full_fta","standards","investments","services","procurement","competition","iprs","depth_index","depth_rasch"
"840",840,"Australia China","base treaty",1,1,1,1,0,0,1,5,1.17484322801371
"842",842,"Australia Japan","base treaty",1,1,1,1,1,1,1,7,1.73780124065261
"844",844,"Bosnia and Herzogovina EFTA","base treaty",1,1,0,0,0,0,1,3,0.967429643826601
"848",848,"Canada EC (CETA)","base treaty",1,1,1,1,1,1,1,7,1.698150017888
"852",852,"Canada Korea","base treaty",1,1,1,1,0,1,1,6,1.81740797557902
"858",858,"Chile Hong Kong","base treaty",1,1,1,1,1,1,0,6,1.27604330023795
"862",862,"China Switzerland","base treaty",1,1,1,1,0,1,1,6,1.67840590039582
"864",864,"Central America EFTA","base treaty",1,1,1,1,1,1,1,7,1.93183576834764
"866",866,"EC Georgia","base treaty",1,1,1,1,1,1,1,7,2.16374915229156
"872",872,"EC Moldova","base treaty",1,1,1,1,1,1,1,7,2.16374915229156
"874",874,"EC Singapore","base treaty",1,1,1,1,1,1,1,7,2.01903870920396
"876",876,"EC Ukraine","base treaty",1,1,1,1,1,1,1,7,1.48042898484965
"877",877,"EC Vietnam","base treaty",1,1,1,1,1,1,1,7,1.8174079755791
"891",891,"Mexico Panama","base treaty",1,1,1,1,0,0,1,5,1.58667651620842
"899",899,"Transpacific Partnership (TPP)","base treaty",1,1,1,1,1,1,1,7,1.88100425873019
"908",908,"Colombia Mexico Venezuela","base treaty",1,1,1,1,1,0,1,6,1.6416174875536
"909",909,"China Korea","base treaty",1,1,1,1,0,1,1,6,1.48042898484975
"911",911,"Australia Korea","base treaty",1,1,1,1,1,1,0,6,1.56497510128452
"930",930,"Japan Mongolia","base treaty",1,1,1,1,0,1,0,5,1.22549960298725
"943",943,"Malaysia Turkey","base treaty",1,1,0,0,0,0,0,2,0.077331973359849
"955",955,"China Iceland","base treaty",1,1,1,1,0,1,0,5,1.17484322801397
